title,description,dept,course_num,course_name,min_credits,max_credits,offered,grading,note,course_abbrev
ANTH-060 Summer Field School: Archaeology (0) opens a new window," ANTH-060 Summer Field School: Archaeology (0)Noncredit participation in the excavation of an archaeological site. Training varies depending on the site, but usually includes site surveying, archaeological engineering, techniques of excavation, flora, fauna, and soil analysis, field laboratory practice, and on-site computer data processing. Usually Offered: summer. | ",ANTH,60,Summer Field School: Archaeology,0,0,summer,,,ANTH-060
ANTH-096 Selected Topics: Non-Recurring (0) opens a new window,ANTH-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,ANTH,96,Selected Topics: Non-Recurring,0,0,,,,ANTH-096
ARAB-096 Selected Topics: Non-Recurring (0) opens a new window,ARAB-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,ARAB,96,Selected Topics: Non-Recurring,0,0,,,,ARAB-096
ATEC-096 Selected Topics: Non-Recurring (0) opens a new window,ATEC-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,ATEC,96,Selected Topics: Non-Recurring,0,0,,,,ATEC-096
BIO-096 Selected Topics: Non-Recurring (0) opens a new window,BIO-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,BIO,96,Selected Topics: Non-Recurring,0,0,,,,BIO-096
CAS-024 Master Class in Social Responsibility (0) opens a new window," CAS-024 Master Class in Social Responsibility (0)As the central academic component to the Frederick Douglass Distinguished Scholars (FDDS) program, the Master Class series is designed to challenge Scholars to develop key skills and competencies that elevate their strengths, cultivate leadership capacity, and enhance academic skills necessary to be leaders on campus and for application and admission to prestigious graduate and professional schools.Crosslist: CAS-124 . Usually Offered: fall and spring. Repeatable. Grading: Pass/Fail only.Restriction: Frederick Douglass Distinguished Scholars. Note: Intended for FDDS students not enrolled in the Social Responsibility (Undergraduate Certificate) .  | ",CAS,24,Master Class in Social Responsibility,0,0,fall and spring,Pass/Fail only,Intended for FDDS students not enrolled in the Social Responsibility (Undergraduate Certificate) ,CAS-024
CAS-025 Reading Preparation for the Tool of Research (0) opens a new window," CAS-025 Reading Preparation for the Tool of Research (0)Refresher work in a world language, stressing grammar review, vocabulary building, and reading strategies, for graduate students preparing for a Tool of Research examination. Provides students with access to one-on-one coaching services at the Center for Language Exploration, Acquisition and Research (CLEAR) for up to three 30-minute sessions per week, starting on the first day of the third week of the semester and continuing through the last day of classes. Grading: Audit only. Permission: CAS Director of Graduate Academic Programs.Note: Open only to American University graduate students preparing for a Tool of Research examination who have completed at least three semesters of college-level language training in the relevant world language. Enrollment limited to two semesters per student. Session times are set by student, based on availability. Availability of languages is not guaranteed.  | ",CAS,25,Reading Preparation for the Tool of Research,0,0,,Audit only,Open only to American University graduate students preparing for a Tool of Research examination who have completed at least three semesters of college-level language training in the relevant world language,CAS-025
CAS-070 Introduction to the Fields of Medicine (0) opens a new window," CAS-070 Introduction to the Fields of Medicine (0)This course is an introduction to the various health professions, their requirements, training, responsibilities, and daily practices. To help students learn about the various professions in medicine and make educated choices about their profession, guest speakers discuss how they prepared for training, what type of post-graduate training was necessary, what they do on a daily basis, and what they do and don’t like about their profession. Usually Offered: spring.Grading: Pass/Fail only. | ",CAS,70,Introduction to the Fields of Medicine,0,0,spring,Pass/Fail only,,CAS-070
CAS-096 Selected Topics: Non-Recurring (0) opens a new window,CAS-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable.  |,CAS,96,Selected Topics: Non-Recurring,0,0,,,,CAS-096
COMM-020 Skills Intensive (0) opens a new window," COMM-020 Skills Intensive (0) Topics vary by section. Rotating topics in the analysis and working methods of specialized areas of communications. Includes timely topics and relevant skills used in the field by communications professionals. Usually Offered: fall, spring, and summer. Repeatable. Grading: Pass/Fail only. | ",COMM,20,Skills Intensive,0,0,"fall, spring, and summer",Pass/Fail only,,COMM-020
COMM-080 Film and Digital Media Workshop (0) opens a new window,COMM-080 Film and Digital Media Workshop (0) Topics vary by section. Noncredit workshops covering a variety of skills in both technical and business aspects of film and digital media.Repeatable. Grading: Pass/Fail only. |,COMM,80,Film and Digital Media Workshop,0,0,,Pass/Fail only,,COMM-080
COMM-096 Selected Topics: Non-Recurring (0) opens a new window,COMM-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable.  |,COMM,96,Selected Topics: Non-Recurring,0,0,,,,COMM-096
DNCE-050 Choreographic Laboratory (0) opens a new window," DNCE-050 Choreographic Laboratory (0)Practical experience and investigation of the choreographic process. Students engage in creation, collaboration, rehearsal, and performance of their own or peers’ original choreography through close faculty mentorship and facilitation.Crosslist: DNCE-350 . Usually Offered: fall. Repeatable. Grading: Pass/Fail only. Permission: dance program director.Note: Audition required.  | ",DNCE,50,Choreographic Laboratory,0,0,fall,Pass/Fail only,Audition required,DNCE-050
DNCE-055 American University Dance Company (0) opens a new window," DNCE-055 American University Dance Company (0)Practical experience and investigation of the creative, performance, production, facilitation, and logistical processes of a dance company. Students engage in faculty, guest artist, and student choreography through rehearsals, performance, production, and reflection.Crosslist: DNCE-355 . Usually Offered: spring. Repeatable. Grading: Pass/Fail only. Permission: dance program director.Note: Audition required.  | ",DNCE,55,American University Dance Company,0,0,spring,Pass/Fail only,Audition required,DNCE-055
ECON-096 Selected Topics: Non-Recurring (0) opens a new window,ECON-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,ECON,96,Selected Topics: Non-Recurring,0,0,,,,ECON-096
EDU-061 Language Teaching and Learning for International Educators (0) opens a new window," EDU-061 Language Teaching and Learning for International Educators (0)This course provides contextualized English language development along with instruction and practice in theoretical and applied language teaching methodology in bilingual education. Students study approaches and methodology related to bilingual education, both in the United States and internationally, with focus on supporting the needs of P-12 students. Students participate in site visits to bilingual classrooms to study program implementation and evaluation.  | ",EDU,61,Language Teaching and Learning for International Educators,0,0,,,,EDU-061
EDU-071 Child Development and Learning (0) opens a new window," EDU-071 Child Development and Learning (0) Understanding principles of child development, including social development, emotional development, and learning, using the cultural resources (language, cultural traditions, heritage, knowledge) children bring to the learning community. Grading: Pass/Fail only.Restriction: Child Development Associate Credential. | ",EDU,71,Child Development and Learning,0,0,,Pass/Fail only,,EDU-071
EDU-072 Culturally Responsive Learning in Early Childhood Education (0) opens a new window," EDU-072 Culturally Responsive Learning in Early Childhood Education (0)Exploration of strategies and practices for advancing young children’s physical, cognitive, communicative, creative and intellectual development from a culturally responsive, anti-racist and critical literacy perspective. Grading: Pass/Fail only.Restriction: Child Development Associate Credential. | ",EDU,72,Culturally Responsive Learning in Early Childhood Education,0,0,,Pass/Fail only,,EDU-072
"EDU-073 Health, Safety, and Nutrition in the Early Years (0) opens a new window"," EDU-073 Health, Safety, and Nutrition in the Early Years (0)Exploration of culturally responsive strategies, policies and practices for creating, establishing, and maintaining the health, safety, and nutrition of children in the early years. Grading: Pass/Fail only.Restriction: Child Development Associate Credential. | ",EDU,73,"Health, Safety, and Nutrition in the Early Years ",0,0,,Pass/Fail only,,EDU-073
EDU-074 Professionalism and Community Building (0) opens a new window,EDU-074 Professionalism and Community Building (0)Exploration of the role early childhood educators play in community building to support the needs of young children and in engaging in courageous and professional leadership. Grading: Pass/Fail only.Restriction: Child Development Associate Credential. |,EDU,74,Professionalism and Community Building,0,0,,Pass/Fail only,,EDU-074
EDU-075 Program Management in Early Childhood Education (0) opens a new window," EDU-075 Program Management in Early Childhood Education (0)Exploration of various forms of program management in early childhood settings including observation, documentation, planning, evaluation, record keeping, and building community, from a culturally responsive and anti-racist perspective. Grading: Pass/Fail only.Restriction: Child Development Associate Credential. | ",EDU,75,Program Management in Early Childhood Education,0,0,,Pass/Fail only,,EDU-075
EDU-096 Selected Topics: Non-Recurring (0) opens a new window,EDU-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,EDU,96,Selected Topics: Non-Recurring,0,0,,,,EDU-096
