school,department,dept,Arts,Business,Capstone,Community Health,Education,Finance,Gender/Race/Identity,History,Information Technology,International Issues,Languages,Management,Media,Politics and Policy,Psychology,Quantitative Analysis,Repeatable Topics,Research,Social Issues,Washington
Kogod School of Business,Department of Accounting,ACCT,0.00266178180184624,0.143592754250888,0.047629791318676,0.0225132555401111,0.0344467861375257,0.114187049353964,0.00370747315441629,0.00266178180184614,0.0226938741587713,0.0244757457304989,0.00540566661186081,0.337898909745171,0.00794931833060843,0.0510722438392708,0.0498966103731633,0.0134907158026416,0.0321979183600455,0.0248755928721812,0.051294255465189,0.00734847535132472
Kogod School of Business,Department of Finance and Real Estate,FIN,0.00331721701819071,0.0393091634715635,0.0393739479638038,0.0166026517729291,0.0466856702148255,0.37598051684892,0.00331721701819215,0.00488005569650743,0.00744772075275549,0.0291477013548757,0.00361129857332579,0.157408996221289,0.00331721701818947,0.00915148718498781,0.0103309721941917,0.167926389262114,0.0542385654271221,0.0141698728536818,0.00521299014509112,0.00857034900744312
Kogod School of Business,Department of Finance and Real Estate,REAL,0.00471585506559611,0.0171276858239697,0.14430775080511,0.00471585506561735,0.0478378554722446,0.142823817557038,0.00471585506559775,0.00471585506560242,0.00471585506559756,0.0390886820543296,0.00471585506559909,0.462821356928804,0.0117824546000352,0.00471585506559871,0.00471585506560124,0.0230070019995817,0.00807278499295921,0.014225203560667,0.00478259935950074,0.0463959663209497
Kogod School of Business,Department of Information Technology and Analytics,ITEC,0.00377856608590135,0.146576351497502,0.0445629869157235,0.00295412452006658,0.026879786736158,0.0457348555377313,0.0024483449529113,0.00217315050236858,0.148961344000652,0.0224389977238241,0.00255873675141983,0.294483095174783,0.0166684840255136,0.0104335744703768,0.0134054102461526,0.07049811003448,0.0133057168429458,0.0138790261451754,0.0185332773694675,0.0997260604668467
Kogod School of Business,Department of International Business,IBUS,0.00485532437063909,0.241203445128495,0.0512454530058629,0.0216168019657518,0.0447920683080099,0.127159409742249,0.0032963971146431,0.011051508526668,0.0152442102488701,0.197340479056232,0.0266550999605406,0.0792246963521403,0.00426469226709065,0.0283403147742992,0.00502425662587059,0.00389186063197507,0.0650010805522354,0.0209335155787907,0.016965906321583,0.0318934794680541
Kogod School of Business,Department of Management,MGMT,0.00539641822217789,0.467386313056495,0.0425611597870789,0.0446896998904649,0.0204116701954982,0.0260612053030889,0.00314009994164049,0.00806850837506163,0.0207720745776468,0.07670052110328,0.00397796563653405,0.0898341344564041,0.0313237121250287,0.0368611965406739,0.0176387187875929,0.00765905840245636,0.0320021308896907,0.01011769221954,0.0304592858908508,0.024938434598796
Kogod School of Business,Department of Marketing,MKTG,0.00346267262391022,0.394356855051971,0.0593443277120987,0.0316078150396902,0.0330720784037148,0.0173004944451856,0.00821656160878361,0.00357218311955817,0.0231494308911881,0.00858057489552238,0.00346267262390703,0.015446685034277,0.163787505872703,0.00590396307979219,0.0424416161176436,0.0220316865694644,0.0460426620975103,0.0360685245445365,0.0345418114327321,0.0476098788358109
Kogod School of Business,Kogod School of Business,KSB,0.00641515748732641,0.283521459911672,0.0988086091087718,0.00861360005413726,0.087604179461122,0.0137391899363314,0.00435480761718365,0.0060078768473419,0.00411797861679183,0.0198726320766486,0.181363695505038,0.0552276301306367,0.0233736983486164,0.0145992175099688,0.00469574316284652,0.0205842382838516,0.0329417379380823,0.0735789091675103,0.0185725150201991,0.0420071238159233
School of Arts and Sciences,American Studies Program,AMST,0.0549846861614689,0.00789546842440407,0.174168981801069,0.159007478258952,0.0313620028581707,0.00338087338204156,0.0951041351314004,0.235125331131213,0.00289717194576915,0.0277713471239663,0.0195564789463344,0.00506617174632059,0.0224970314633669,0.0166201938530374,0.0282281281579259,0.00289717194576796,0.0226402886241845,0.0111636668433526,0.0449134007288297,0.0347199914724252
School of Arts and Sciences,Arab World Studies,AWST,0.0801838561354986,0.00669320537767808,0.119880505183506,0.0220113432325004,0.0871934527097661,0.00669320537767738,0.102548054573656,0.101157720993124,0.00669320537767672,0.0548949401498656,0.00669320537768218,0.00669320537767784,0.0615295113010766,0.0592079863823633,0.036374797818349,0.00669320537767151,0.204017142447116,0.00669320537769486,0.0125081887519869,0.0116400626774324
