school,department,dept,year (fall),Arts,Business,Capstone,Community Health,Education,Finance,Gender/Race/Identity,History,Information Technology,International Issues,Languages,Management,Media,Politics and Policy,Psychology,Quantitative Analysis,Repeatable Topics,Research,Social Issues,Washington
Kogod School of Business,Department of Accounting,ACCT,2014,0.00460476531298372,0.134094380542634,0.0326413906144746,0.0232958930229446,0.0514699225865245,0.0911959319715854,0.00556201066989149,0.00460476531298219,0.0229910082716138,0.0238170597836536,0.00711315444073092,0.316619401927116,0.00869228953541056,0.053598567837664,0.0332479098926914,0.0122166827713813,0.0779532055006104,0.0473343417896269,0.0427845894066121,0.00616272880886831
Kogod School of Business,Department of Accounting,ACCT,2023,0.00155620766523821,0.149946531971363,0.0530401183445393,0.0215285033862454,0.0249285815084551,0.115228179891702,0.00309569771207789,0.00155620766523879,0.0243391032970851,0.0235844245766915,0.00427194381811531,0.366556702741602,0.00593575952552699,0.0536654149190036,0.0560559266027663,0.0090559984226743,0.00542332640712064,0.0160146053345134,0.0565829626642326,0.00763380354580912
Kogod School of Business,Department of Accounting,ACCT,2024,0.0015982597860545,0.147724073093905,0.0593418992508189,0.0226917197023451,0.024939791812044,0.140317729390584,0.00219345722742019,0.00159825978605536,0.0204901446191679,0.0262606715904111,0.00465346295804125,0.330928308158126,0.0093322936806225,0.0451549166264796,0.0627377114354204,0.0199926870797266,0.00798493082766523,0.00817443951259072,0.0554496883108251,0.00843555515169675
Kogod School of Business,Department of Finance and Real Estate,FIN,2014,0.0051650070999504,0.0310551301935594,0.0393371020513415,0.00636302701855624,0.0580972483396796,0.369090324552348,0.00516500709994935,0.00710053677335569,0.008221970689037,0.0307384543725474,0.00516500709994727,0.156863001277365,0.00516500709994496,0.0112368897362114,0.00516500709994688,0.130446469313016,0.0955003411846817,0.0153649464797522,0.00624871567437658,0.0085108068444346
Kogod School of Business,Department of Finance and Real Estate,FIN,2015,0.00516916816542318,0.0311621528441469,0.0392844240666414,0.00637319453893094,0.0581014094051524,0.368506065781852,0.00516916816542213,0.00710469783882845,0.00822613175450971,0.0307816897605843,0.00516916816542006,0.156867162342837,0.00516916816541774,0.0112410508016842,0.00516916816541965,0.130851534668606,0.0955045022501544,0.0153691075452249,0.00626606766383736,0.00851496790990725
Kogod School of Business,Department of Finance and Real Estate,FIN,2016,0.00495526906510471,0.0388200654379933,0.0372749851820485,0.00609592562948024,0.0524435999406566,0.363143313691959,0.00495526906510403,0.00678892875569929,0.00794736268045733,0.0305818682396968,0.00495526906510151,0.155439427254867,0.00495526906509957,0.0107930243784861,0.00495526906510144,0.145860526895334,0.0905361118822184,0.0145176343874004,0.005994437010971,0.00898644330722132
Kogod School of Business,Department of Finance and Real Estate,FIN,2017,0.00524792084357197,0.039318455241306,0.0361491621357791,0.0064590904403317,0.0511918818794724,0.356010219298977,0.00524792084357323,0.00702504857780845,0.00828787775352356,0.0297796297868171,0.00524792084357373,0.154095931398503,0.00524792084357186,0.0110309988127054,0.00524792084357419,0.143846166722483,0.0989593511183403,0.016276068880179,0.00657285886320995,0.00875765487269942
Kogod School of Business,Department of Finance and Real Estate,FIN,2018,0.00263202765122257,0.0399362148466361,0.0319424550389397,0.0204193678569421,0.0518472069222496,0.385367663383332,0.00263202765122429,0.004532365876022,0.00563341008414886,0.0269133127421905,0.00263202765122451,0.161428298202922,0.00263202765122301,0.00868206497600508,0.0137344875481445,0.196990718896097,0.0174114076247141,0.0143063766232958,0.00366095408245492,0.00666558469101056
Kogod School of Business,Department of Finance and Real Estate,FIN,2019,0.00262616059356498,0.039618514762723,0.0343842628836349,0.0204135007992845,0.0518413398645921,0.379375513572121,0.00262616059356675,0.00400684652055416,0.00562754302649128,0.0275490720462021,0.0026261605935668,0.161575489283168,0.00262616059356543,0.00867619791834748,0.0137286204904869,0.200677601667285,0.0174055405670564,0.0143005095656383,0.00365508702479732,0.00665971763335298
Kogod School of Business,Department of Finance and Real Estate,FIN,2020,0.00255948661425752,0.038253863444147,0.0332032695257285,0.0197227096197763,0.05004781748981,0.378158394242962,0.00255948661425938,0.00389172742100141,0.00545555738287059,0.0266079099457495,0.00255948661425921,0.16513036496475,0.00255948661425791,0.00839724192764415,0.0132723865147963,0.19366175431697,0.026994822388017,0.0138242093066089,0.00355231036369224,0.00958771468844289
Kogod School of Business,Department of Finance and Real Estate,FIN,2021,0.00249063932062565,0.0457725728412949,0.0320956499300129,0.0190720581564658,0.0483691962681933,0.371680175797082,0.00249063932062757,0.00377771942205623,0.00528853819877732,0.0257238618612195,0.00249063932062737,0.164615997462735,0.00249063932062636,0.00813050462338913,0.0128403900719937,0.187114864050365,0.0394519766243987,0.0133735070064568,0.00344980802770673,0.00928062237534717
Kogod School of Business,Department of Finance and Real Estate,FIN,2022,0.00252674540620121,0.0419498727221601,0.0331705283176723,0.0201494946739908,0.0488754897898616,0.386154125619694,0.00252674540620313,0.00385898621294467,0.0102489811880526,0.0265751687376925,0.0025267454062029,0.160007158823136,0.00252674540620222,0.00836450071958767,0.0132396453067402,0.179938364960884,0.0338413366565168,0.00987855868217595,0.00351956915563573,0.0101212368084453
Kogod School of Business,Department of Finance and Real Estate,FIN,2023,0.00162517114937577,0.0416408927535515,0.0542374047623083,0.0212990962482447,0.0243733740469006,0.374490571354703,0.00162517114937843,0.00298120197052557,0.00822519389690635,0.0335660990517668,0.00326625125615751,0.175556454891514,0.00162517114937684,0.0075671720933592,0.0125293728338532,0.173238316125637,0.0334989515291612,0.0147470968837812,0.00512813355718403,0.00877890329631481
