href,title,url,description,link_1,link_2,link_3,link_4,link_5,link_6,link_7,link_8,link_9,link_10,link_11,link_12,link_13,link_14,link_15,dept,course_num,course_name,credits,min_credits,max_credits,offered,crosslist,grading,restriction,note,permission,prerequisite,requirement,concurrent,corequisite
preview_course_nopop.php?catoid=22&coid=108759,ANTH-060 Summer Field School: Archaeology (0) opens a new window,https://catalog.american.edu/preview_course_nopop.php?catoid=22&coid=108759," ANTH-060 Summer Field School: Archaeology (0)Noncredit participation in the excavation of an archaeological site. Training varies depending on the site, but usually includes site surveying, archaeological engineering, techniques of excavation, flora, fauna, and soil analysis, field laboratory practice, and on-site computer data processing. Usually Offered: summer. | ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANTH,060,Summer Field School: Archaeology ,(0),0,0,summer,NA,NA,NA,NA,NA,NA,NA,NA,NA
preview_course_nopop.php?catoid=22&coid=111029,ANTH-096 Selected Topics: Non-Recurring (0) opens a new window,https://catalog.american.edu/preview_course_nopop.php?catoid=22&coid=111029, ANTH-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANTH,096,Selected Topics: Non-Recurring ,(0),0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
preview_course_nopop.php?catoid=22&coid=111037,ARAB-096 Selected Topics: Non-Recurring (0) opens a new window,https://catalog.american.edu/preview_course_nopop.php?catoid=22&coid=111037, ARAB-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARAB,096,Selected Topics: Non-Recurring ,(0),0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
preview_course_nopop.php?catoid=22&coid=111052,ATEC-096 Selected Topics: Non-Recurring (0) opens a new window,https://catalog.american.edu/preview_course_nopop.php?catoid=22&coid=111052, ATEC-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATEC,096,Selected Topics: Non-Recurring ,(0),0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
preview_course_nopop.php?catoid=22&coid=111065,BIO-096 Selected Topics: Non-Recurring (0) opens a new window,https://catalog.american.edu/preview_course_nopop.php?catoid=22&coid=111065, BIO-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIO,096,Selected Topics: Non-Recurring ,(0),0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
preview_course_nopop.php?catoid=22&coid=112474,CAS-024 Master Class in Social Responsibility (0) opens a new window,https://catalog.american.edu/preview_course_nopop.php?catoid=22&coid=112474," CAS-024 Master Class in Social Responsibility (0)As the central academic component to the Frederick Douglass Distinguished Scholars (FDDS) program, the Master Class series is designed to challenge Scholars to develop key skills and competencies that elevate their strengths, cultivate leadership capacity, and enhance academic skills necessary to be leaders on campus and for application and admission to prestigious graduate and professional schools.Crosslist: CAS-124 . Usually Offered: fall and spring. Repeatable. Grading: Pass/Fail only.Restriction: Frederick Douglass Distinguished Scholars. Note: Intended for FDDS students not enrolled in the Social Responsibility (Undergraduate Certificate) .  | ",preview_course_nopop.php?catoid=22&coid=112374,preview_program.php?catoid=22&poid=10927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAS,024,Master Class in Social Responsibility ,(0),0,0,fall and spring,CAS-124 ,Pass/Fail only,Frederick Douglass Distinguished Scholars,Intended for FDDS students not enrolled in the Social Responsibility (Undergraduate Certificate) ,NA,NA,NA,NA,NA
preview_course_nopop.php?catoid=22&coid=111816,CAS-025 Reading Preparation for the Tool of Research (0) opens a new window,https://catalog.american.edu/preview_course_nopop.php?catoid=22&coid=111816," CAS-025 Reading Preparation for the Tool of Research (0)Refresher work in a world language, stressing grammar review, vocabulary building, and reading strategies, for graduate students preparing for a Tool of Research examination. Provides students with access to one-on-one coaching services at the Center for Language Exploration, Acquisition and Research (CLEAR) for up to three 30-minute sessions per week, starting on the first day of the third week of the semester and continuing through the last day of classes. Grading: Audit only. Permission: CAS Director of Graduate Academic Programs.Note: Open only to American University graduate students preparing for a Tool of Research examination who have completed at least three semesters of college-level language training in the relevant world language. Enrollment limited to two semesters per student. Session times are set by student, based on availability. Availability of languages is not guaranteed.  | ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAS,025,Reading Preparation for the Tool of Research ,(0),0,0,NA,NA,Audit only,NA,Open only to American University graduate students preparing for a Tool of Research examination who have completed at least three semesters of college-level language training in the relevant world language,CAS Director of Graduate Academic Programs,NA,NA,NA,NA
preview_course_nopop.php?catoid=22&coid=109691,CAS-070 Introduction to the Fields of Medicine (0) opens a new window,https://catalog.american.edu/preview_course_nopop.php?catoid=22&coid=109691," CAS-070 Introduction to the Fields of Medicine (0)This course is an introduction to the various health professions, their requirements, training, responsibilities, and daily practices. To help students learn about the various professions in medicine and make educated choices about their profession, guest speakers discuss how they prepared for training, what type of post-graduate training was necessary, what they do on a daily basis, and what they do and don’t like about their profession. Usually Offered: spring.Grading: Pass/Fail only. | ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAS,070,Introduction to the Fields of Medicine ,(0),0,0,spring,NA,Pass/Fail only,NA,NA,NA,NA,NA,NA,NA
preview_course_nopop.php?catoid=22&coid=112434,CAS-096 Selected Topics: Non-Recurring (0) opens a new window,https://catalog.american.edu/preview_course_nopop.php?catoid=22&coid=112434, CAS-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable.  |,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAS,096,Selected Topics: Non-Recurring ,(0),0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
preview_course_nopop.php?catoid=22&coid=112213,COMM-020 Skills Intensive (0) opens a new window,https://catalog.american.edu/preview_course_nopop.php?catoid=22&coid=112213," COMM-020 Skills Intensive (0) Topics vary by section. Rotating topics in the analysis and working methods of specialized areas of communications. Includes timely topics and relevant skills used in the field by communications professionals. Usually Offered: fall, spring, and summer. Repeatable. Grading: Pass/Fail only. | ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMM,020,Skills Intensive ,(0),0,0,"fall, spring, and summer",NA,Pass/Fail only,NA,NA,NA,NA,NA,NA,NA
